sample_id	accession_id	CurrentName	plate	well	has_seed	RowTree	Voucher	Provenance	RowNum	YearPlanted	TreeNum	DNNumber	FieldComments	Date	FieldDetermination	Location	Description	Latitude	Longitude	Genus	Subgenus	Section	Series	Subseries	Species	Subspecies
CCA0773	CCA0773	Eucalyptus kabiana	CC02	B04	No	R050/T22	DN 720	Mt Beerwah, Qld	50	1994	22	720		1993-12-09	Eucalyptus kabiana	Lower slope of Mt. Beerwah, Glasshouse Mountains, Queensland.	Mallee 3 m tall. Stems thin. Bark smooth, reddish-grey over cream. Leaves dull green. Growing on steep north facing rock slab in cracks between slabs.			Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	kabiana	""
CCA0736	CCA0736	Eucalyptus exserta	CC02	C04	Yes	R049/T09	DN 682	Tara, Qld	49	1994	9	682		1993-12-06	Eucalyptus exserta	Qld.	Robust mallee 6m tall. Bark rough and thick, dark grey brown over most of stems. Leaves dull green. Growing in dense mulga. Dalby.	-27.1341666666667	150.483055555556	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Exsertae	exserta	""
CCA0700	CCA0700	Eucalyptus gomphocephala	CC02	D04	Yes	R047/T36	-	Cult. Morphett Vale, SA	47	1994	36									Eucalyptus	Symphyomyrtus	Bolites	""	""	gomphocephala	""
CCA0671	CCA0671	Eucalyptus botryoides	CC02	E04	No	R046/T35	-	Cult. Morphett Vale, SA	46	1994	35									Eucalyptus	Symphyomyrtus	Latoangulatae	Transversae	""	botryoides	""
CCA0695	CCA0695	Eucalyptus longifolia	CC02	F04	Yes	R047/T27	Brooker 4700	Nowra, NSW	47	1994	27									Eucalyptus	Symphyomyrtus	Incognitae	'Similares' ms	""	longifolia	""
CCA0964	CCA0964	Eucalyptus michaeliana	CC02	G04	No	R061/T01	DN 650	Hillgrove, NSW	61	1994	1	650		1993-12-04	Eucalyptus michaeliana	NSW	Tree 18m tall. Bark smooth, conspicuously mottled, greenish-grey over light grey. Leaves dull, blue green. Growing on slight rise with E. cameronii. Dorrigo.	-30.5908333333333	151.955277777778	Eucalyptus	Symphyomyrtus	Racemus	""	""	michaeliana	""
CCA1037	CCA1037	Eucalyptus roycei	CC02	H04	Yes	R063/T21	DN 1175	Coburn Station, WA	63	1995	21	1175		1994-11-27	Eucalyptus roycei		Mallee 2m tall. Bark smooth, grey. Leaves dull, blue green. On yellow sand dune with E. beardiana. A Photo	-26.7027777777778	114.1825	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Jucundae	roycei	""
CCA1111	CCA1111	Eucalyptus extrica	CC02	A05	Yes	R065/T31	DN 1092	Cape Arid, WA	65	1995	31	1092		1994-11-21	Eucalyptus extrica		Scraggly mallee 3 x 4m. Bark smooth, tan over light grey. Leaves not glaucous, dull, green. Fruit glossy, yellowish orange. On white sand over limestone with E. crassa, E. cooperiana and E. discreta. A      Photo       Photo E. tumida	-33.585	123.578333333333	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Tetraedrae	extrica	""
CCA1122	CCA1122	Eucalyptus urna	CC02	B05	Yes	R066/T05	DN 1087	Balladonia, WA	66	1995	5	1087		1994-11-21	Eucalyptus urna		Mallet 6m tall. Bark smooth, grey over cream. Leaves glossy, green on loam over limestone with E. fraseri, E. gracilis and E. oleosa S.L. A       Photo	-32.8236111111111	123.5325	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decurrentes	urna	""
CCA1135	CCA1135	Eucalyptus camaldulensis subsp. arida	CC02	C05	No	R066/T25	DN 1206	MacDonnell Ranges, NT	66	1995	25	1206		1994-12-03	Eucalyptus camaldulensis subsp. arida		Tree 10m tall. Bark smooth, mottled red brown over green grey over white. Leaves dull, blue green. Flowers cream. Growing in creek, E. terminalis nearby. A Photo	-23.2041666666667	131.560277777778	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Rostratae	camaldulensis	arida
CCA1192	CCA1192	Eucalyptus obesa	CC02	D05	Yes	R068/T20	DN 1109	Ninety Mile Tank, WA	68	1995	20	1109		1994-11-22	Eucalyptus obesa		Mallee 4m tall. Bark smooth, light grey over cream. Leaves glossy, light green. Growing on white sand and laterite with E. eremophila and E. pileata. A Photo	-32.9202777777778	120.365833333333	Eucalyptus	Symphyomyrtus	Bisectae	Falcatae	Decipientes	obesa	""
CCA1212	CCA1212	Eucalyptus rudis subsp. rudis	CC02	E05	Yes	R069/T32	DN 1131	Pallinup River, WA	69	1995	32	1131		1994-11-23	Eucalyptus rudis subsp. rudis	Pallinup River, Western Australia.	Tree 8 m tall. Bark rough, finely fissured, grey to small twigs. Leaves slightly glossy, blue green. Growing in creek with Eucalyptus macrandra and Allocasuarina. A Photo	-34.4058333333333	118.73	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Rostratae	rudis	rudis
CCA1266	CCA1266	Eucalyptus camaldulensis subsp. camaldulensis	CC02	F05	No	R071/T28	DN 823	Kangaroo Island, SA	71	1995	28	823		1993-04-30	Eucalyptus camaldulensis subsp. camaldulensis		Tree 15m tall. Bark smooth, irregularly flakes of grey, cream and orange. Leaves dull, slightly bluish green. Growing in pure stand on brown loam flat surrounded by E. cneirofolia. Seed taken.	-35.6972222222222	137.5225	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Rostratae	camaldulensis	camaldulensis
CCA1256	CCA1256	Eucalyptus pleurocarpa	CC02	G05	Yes	R071/T12	DN 154	Grass Patch, WA	71	1995	12	154		1992-12-06	Eucalyptus pleurocarpa		Growing on sand plain, slight rise.	-33.1577777777778	121.640277777778	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Tetraedrae	pleurocarpa	""
CCA1302	CCA1302	Eucalyptus gillenii	CC02	H05	Yes	R073/T02	DN 1209	Mt Gillen, WA	73	1995	2	1209		1994-12-04	Eucalyptus gillenii	Mt Gillen, MacDonnell Ranges, Northern Territory.	Mallee 4 m tall. Bark ribbony, rough at base, otherwise smooth, pink or tan over cream. Leaves dull, blue green. Growing on rocky hillside with Corymbia eremaea subsp. oligocarpa and C. apparrerinja. AD Photo	-23.725	133.857222222222	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Exsertae	gillenii	""
CCA1370	CCA1370	Eucalyptus diversicolor	CC02	A06	No	R076/T20	DN 1142	Walpole, WA	76	1995	20	1142		1994-11-24	Eucalyptus diversicolor		Tree 25m tall with broken top. Bark smooth grey over yellow cream. Leaves discolourous, glossy, green above. Growing in pure stands with E. calophylla nearby. A Photo (not of specimen tree)	-34.8169444444444	116.685277777778	Eucalyptus	Symphyomyrtus	Inclusae	""	""	diversicolor	""
CCA1413	CCA1413	Corymbia deserticola subsp. deserticola	CC02	B06	No	R083/T11	DN 542	Kumarina roadhouse, WA	83	1998	11	542		1993-10-04	Corymbia deserticola subsp. deserticola	Track to Eucalyptus rameliana from Weelarrana, edge of Little Sandy Desert, Western Australia.	Scraggly tree 4 metres tall. Bark rough, coarsely tessellated, grey. Leaves dull, slightly rough, light green. Dominant on gravely red sand, with Corymbia opaca nearby. PERTH	-24.185	120.004444444444	Corymbia	Corymbia	Corymbia	'Terminalipterae' ms	""	deserticola	deserticola
CCA1439	CCA1439	Eucalyptus herbertiana	CC02	C06	No	R084/T22	DN 1933	Kununurra, WA	84	1998	22	1933		1996-10-15	Eucalyptus herbertiana	Kelly's Knob, Kununurra township, Western Australia.	Mallee 4 m tall. Bark smooth, white and pinkish-cream. Leaves dull, green. Growing in between rocks on rocky hill with Corymbia cliftoniana? and C. drysdalensis. CANB, PERTH photo	-15.7666666666667	128.733333333333	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Subexsertae	herbertiana	""
CCA1474	CCA1474	Eucalyptus eremicola subsp. peeneri	CC02	D06	Yes	R086/T12	DN 1542	Lake Yeo, WA	86	1996	12	1542		1995-09-17	Eucalyptus eremicola subsp. peeneri	South of Yeo Lake, Great Victoria Desert, Western Australia.	Mallee 6m tall. Bark rough for 203m, grey brown, then smooth, white. Leaves dull, blue green at first, becoming glossy, green. In red sand with Eucalyptus lucasii. Photos AD	-28.1011111111111	124.2125	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Oleaginae	eremicola	peeneri
CCA1564	CCA1564	Eucalyptus platyphylla	CC02	E06	No	R089/T24	DN 1350	Daly Waters, NT	89	1996	24	1350		1995-04-18	Eucalyptus bigalerita	Near Daly Waters on Stuart HW, Northern Territory	Tree 10 m tall. Bark smooth, white. Leaves dull, light green. Growing with Corymbia ferruginea, C. polycarpa, Eucalyptus camaldulensis var. obtusa and E. patellaris. Photo AD	-16.2519444444444	133.3975	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Subexsertae	platyphylla	""
CCA1594	CCA1594	Eucalyptus infera	CC02	F06	Yes	R090/T26	DN 1254	Durikai State Forest, Qld	90	1996	26	1254		1995-04-08	Eucalyptus infera	State Forest south-west of Warwick, Queensland.	Whipstick mallee 5 m tall. Bark smooth, tan and grey over pale orange. Leaves glossy, dark green. Growing in very small waterway with Corymbia maculata, Eucalyptus moluccana and E. fibrosa. Photos AD	-28.3994444444444	151.703055555556	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	infera	""
CCA2829	CCA2829	Corymbia aparrerinja	CC02	G06	No	R132/T05	-	Unknown	132	1997	5									Corymbia	Blakella	Abbreviatae	'Scutiformes' ms	""	aparrerinja	""
CCA1655	CCA1655	Eucalyptus grandis	CC02	H06	Yes	R093/T36	DN 1237	Johns River, NSW	93	1996	36	1237		1995-04-07	Eucalyptus grandis	south of Kew on Pacific HW, NSW	Tree 30m tall. Bark rough, tessellated, dark grey for about 1m then smooth white. Leaves discolourous, glossy, green. Growing beside creek with E. pilularis and E. microcorys. Photo AD	-31.6916666666667	152.734166666667	Eucalyptus	Symphyomyrtus	Latoangulatae	Transversae	""	grandis	""
