AccessionID,AccessionName,SampleID,SampleName,AnonName,PopulationName,Latitude,Longitude,Altitude,HaveBGISeq,BGIReadPairs
A25117,LB-N1-5,S45117,N1-5,LBM02E03,LB-N1,-34.036884,148.5675,318,TRUE,44056782
A25118,LB-N1-6,S45118,N1-6,LBM02F03,LB-N1,-34.036884,148.5675,318,TRUE,44815651
A25119,LB-N1-7,S45119,N1-7,LBM02G03,LB-N1,-34.036884,148.5675,318,TRUE,38524691
A25120,LB-N1-8,S45120,N1-8,LBM02H03,LB-N1,-34.036884,148.5675,318,TRUE,50839575
A25121,LB-N1-9,S45121,N1-9,LBM02A04,LB-N1,-34.036884,148.5675,318,TRUE,43842312
A25122,LB-N1-10,S45122,N1-10,LBM02B04,LB-N1,-34.036884,148.5675,318,TRUE,44989584
A25123,LB-3-1,S45123,3-1,LBM02C04,LB-3,-27.368696,152.03023,625,TRUE,73075669
A25124,LB-3-2,S45124,3-2,LBM02D04,LB-3,-27.368696,152.03023,625,TRUE,43591362
A25125,LB-3-3,S45125,3-3,LBM02E04,LB-3,-27.368696,152.03023,625,TRUE,33995588
A25126,LB-3-4,S45126,3-4,LBM02F04,LB-3,-27.368696,152.03023,625,TRUE,55016470
A25127,LB-3-5,S45127,3-5,LBM02G04,LB-3,-27.368696,152.03023,625,TRUE,38879024
A25128,LB-3-6,S45128,3-6,LBM02H04,LB-3,-27.368696,152.03023,625,TRUE,45714159
A25129,LB-3-7,S45129,3-7,LBM02A05,LB-3,-27.368696,152.03023,625,FALSE,NA
A25130,LB-3-8,S45130,3-8,LBM02B05,LB-3,-27.368696,152.03023,625,TRUE,34147264
A25131,LB-3-9,S45131,3-9,LBM02C05,LB-3,-27.368696,152.03023,625,TRUE,41179788
A25132,LB-3-10,S45132,3-10,LBM02D05,LB-3,-27.368696,152.03023,625,TRUE,43490389
A25133,LB-7-1,S45133,7-1,LBM02E05,LB-7,-33.936944,116.963333,?,TRUE,49852756
A25134,LB-7-2,S45134,7-2,LBM02F05,LB-7,-33.936944,116.963333,?,FALSE,NA
A25135,LB-7-3,S45135,7-3,LBM02G05,LB-7,-33.936944,116.963333,?,TRUE,59289683
A25136,LB-7-4,S45136,7-4,LBM02H05,LB-7,-33.936944,116.963333,?,TRUE,51226193
A25137,LB-7-5,S45137,7-5,LBM02A06,LB-7,-33.936944,116.963333,?,FALSE,NA
A25138,LB-7-6,S45138,7-6,LBM02B06,LB-7,-33.936944,116.963333,?,TRUE,42089418
A25139,LB-7-7,S45139,7-7,LBM02C06,LB-7,-33.936944,116.963333,?,TRUE,49769063
A25140,LB-B-1,S45140,B-1,LBM02D06,LB-B,-35.235664,149.16422,613,FALSE,NA
A25141,LB-B-2,S45141,B-2,LBM02E06,LB-B,-35.235664,149.16422,613,TRUE,39455978
A25142,LB-B-3,S45142,B-3,LBM02F06,LB-B,-35.235664,149.16422,613,TRUE,47012270
A25143,LB-B-4,S45143,B-4,LBM02G06,LB-B,-35.235664,149.16422,613,TRUE,46776822
A25144,LB-B-5,S45144,B-5,LBM02H06,LB-B,-35.235664,149.16422,613,FALSE,NA
A25145,LB-B-6,S45145,B-6,LBM02A07,LB-B,-35.235664,149.16422,613,FALSE,NA
A25146,LB-B-7,S45146,B-7,LBM02B07,LB-B,-35.235664,149.16422,613,TRUE,44821700
A25147,LB-B-8,S45147,B-8,LBM02C07,LB-B,-35.235664,149.16422,613,TRUE,24675945
A25148,LB-B-9,S45148,B-9,LBM02D07,LB-B,-35.235664,149.16422,613,TRUE,65691731
A25149,LB-B-10,S45149,B-10,LBM02E07,LB-B,-35.235664,149.16422,613,TRUE,37243716
A25150,LB-J2-1,S45150,J2-1,LBM02F07,LB-J2,-33.121143000000004,149.05785,709,TRUE,35590861
A25151,LB-J2-2,S45151,J2-2,LBM02G07,LB-J2,-33.121143000000004,149.05785,709,TRUE,37765871
A25152,LB-J2-3,S45152,J2-3,LBM02H07,LB-J2,-33.121143000000004,149.05785,709,FALSE,NA
A25153,LB-J2-4,S45153,J2-4,LBM02A08,LB-J2,-33.121143000000004,149.05785,709,TRUE,45406200
A25154,LB-J2-5,S45154,J2-5,LBM02B08,LB-J2,-33.121143000000004,149.05785,709,TRUE,43202557
A25155,LB-J2-6,S45155,J2-6,LBM02C08,LB-J2,-33.121143000000004,149.05785,709,TRUE,40905879
A25156,LB-J2-7,S45156,J2-7,LBM02D08,LB-J2,-33.121143000000004,149.05785,709,TRUE,44528590
A25157,LB-J2-8,S45157,J2-8,LBM02E08,LB-J2,-33.121143000000004,149.05785,709,FALSE,NA
A25158,LB-J2-9,S45158,J2-9,LBM02F08,LB-J2,-33.121143000000004,149.05785,709,TRUE,51081998
A25159,LB-J2-10,S45159,J2-10,LBM02G08,LB-J2,-33.121143000000004,149.05785,709,TRUE,73093692
A25160,LB-17-1,S45160,17-1,LBM02H08,LB-17,-33.44218,147.51628,213,TRUE,41358693
A25161,LB-17-2,S45161,17-2,LBM02A09,LB-17,-33.44218,147.51628,213,FALSE,NA
A25162,LB-17-3,S45162,17-3,LBM02B09,LB-17,-33.44218,147.51628,213,TRUE,73496120
A25163,LB-17-4,S45163,17-4,LBM02C09,LB-17,-33.44218,147.51628,213,TRUE,60598674
A25164,LB-17-5,S45164,17-5,LBM02D09,LB-17,-33.44218,147.51628,213,TRUE,85347432
A25165,LB-17-6,S45165,17-6,LBM02E09,LB-17,-33.44218,147.51628,213,TRUE,66497020
A25166,LB-17-7,S45166,17-7,LBM02F09,LB-17,-33.44218,147.51628,213,TRUE,36553360
A25167,LB-17-8,S45167,17-8,LBM02G09,LB-17,-33.44218,147.51628,213,TRUE,83248849
A25168,LB-17-9,S45168,17-9,LBM02H09,LB-17,-33.44218,147.51628,213,TRUE,47696098
A25169,LB-17-10,S45169,17-10,LBM02A10,LB-17,-33.44218,147.51628,213,TRUE,48158537
A25170,LB-11-1,S45170,11-1,LBM02B10,LB-11,-35.40026,149.1318,669,FALSE,NA
A25171,LB-11-2,S45171,11-2,LBM02C10,LB-11,-35.40026,149.1318,669,TRUE,46741755
A25172,LB-11-3,S45172,11-3,LBM02D10,LB-11,-35.40026,149.1318,669,TRUE,48773600
