SampleID,Species,Location,Date,Latitude,Longitude,Elevation,SampleName,Datum,Population,N,ReferenceSpecies,SetName
CMB0005,Corymbia maculata,Melbourne Royal Botanic Garden near Macpherson Robertson War Memorial Fountain,2018-12-25T10:00:00Z,-37.832778,144.973333,NA,NA,WGS84,NA,8,Corymbia maculata,C_maculata
CMD0001,Corymbia maculata,Parking lot pullout E of road just entering Durras Beach N of Bateman's Bay,2018-11-14T13:52:12Z,-35.6727785,150.296111,-0.620873638,NA,WGS84,NA,8,Corymbia maculata,C_maculata
EMW0001,Eucalyptus melliodora,Wombeyan Cave Rd.,2019-01-20T20:04:01Z,-36.18417333,150.0986026,121.3435516,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
EMW0002,Eucalyptus melliodora,Wombeyan Cave Rd.,2019-01-20T20:57:36Z,-34.29426229,150.0163724,163.0970959,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
EMW0003,Eucalyptus melliodora,Wombeyan Cave Rd.,2019-01-20T21:27:50Z,-34.2938706,150.0160115,169.7630332,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
EMW0004,Eucalyptus melliodora,Wombeyan Cave Rd.,2019-01-20T22:08:09Z,-34.30037412,150.0047701,193.350133,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
EMW0005,Eucalyptus melliodora,Wombeyan Cave Rd.,2019-01-20T22:25:27Z,-34.30002065,150.0023791,198.5510064,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
EMW0006,Eucalyptus melliodora,Wombeyan Cave Rd.,2019-01-20T23:33:00Z,-34.31277473,150.0875892,82.37350211,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
GOL0001,Eucalyptus melliodora,"S from M23 to Sutton Rd., then dirt rd. W",2019-03-19T17:22:22Z,-35.20836473,149.2588769,647.088135,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
GOL0002,Eucalyptus melliodora,"S on Sutton Rd., E on Norton Rd, N on Fernloff",2019-03-19T17:47:09Z,-35.24763865,149.2807351,792.967285,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
GOL0003,Eucalyptus melliodora,S out of Bungendore on Gidleigh Lane,2019-03-19T18:58:39Z,-35.28911448,149.4522442,738.412842,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
GOL0004,Eucalyptus melliodora,Continueing S on Gidleigh Ln,2019-03-19T19:22:07Z,-35.29944534,149.4607546,749.708008,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
GOL0005,Eucalyptus melliodora,Continueing S on Gidleigh Ln,2019-03-19T20:00:03Z,-35.31586063,149.4957254,807.867432,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
GOL0006,Eucalyptus melliodora,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood",2019-03-19T22:49:11Z,-35.59996331,149.8112832,631.226807,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
GOL0007,Eucalyptus melliodora,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood",2019-03-19T22:50:12Z,-35.60009432,149.8113898,630.265381,NA,WGS84,NA,334,Eucalyptus melliodora,E_melliodora
